,Name,Year,Closest Passage (km),Angle of Passage,close_x,close_y,Vm_max,Vm_rmin,Rm_max,Rm_rmin,Maximum surge (m),Direction,U,V
1,Kate,2015,97.08766187254506,69.21119899554517,-74.8,24.1,38.5833,20.57776,40.0,10.0,0.44,NW,-1.0999999999999943,0.7000000000000028
2,Joaquin,2015,37.77291240361419,23.06757905101725,-74.8,23.4,69.44994,59.16106,100.0,15.0,1.39,NW,-0.09999999999999432,0.3999999999999986
3,Dorian,2013,76.45092738890118,254.61373655760332,-75.3,22.6,25.7222,12.8611,80.0,-99.0,0.36,NW,-0.8999999999999915,0.20000000000000284
4,Sandy,2012,20.681179705228796,169.17254689617414,-75.3,23.3,51.4444,46.29996,150.0,20.0,0.44,NE,0.20000000000000284,1.6000000000000014
5,Irene,2011,19.79658706207091,85.86240641585343,-75.1,23.5,54.01662,48.87218,150.0,30.0,1.0,NW,-0.7999999999999972,0.8000000000000007
6,Bonnie,2010,71.75719328809895,191.8997211365194,-75.9,23.1,20.57776,18.00554,60.0,35.0,0.46,NW,-1.0,0.9000000000000021
7,Rita,2005,38.87226455136231,311.88493524009465,-74.7,22.8,79.73882,28.294420000000002,45.0,30.0,0.52,NW,-0.9000000000000057,0.1999999999999993
8,Katrina,2005,15.556059194842707,275.8824455900988,-75.1,23.1,77.1666,15.43332,55.0,30.0,0.49,NW,-0.6000000000000085,0.29999999999999716
9,Frances,2004,96.55397770112882,82.86744175572052,-75.0,24.2,64.3055,54.01662,100.0,15.0,0.57,NW,-0.7000000000000028,0.3999999999999986
10,Lili,1996,69.66556707094304,167.7571921426436,-76.2,23.5,51.4444,46.29996,30.0,30.0,0.67,NE,2.0,0.5
11,Erin,1995,44.30471525695658,57.066399851159886,-74.9,23.6,41.15552,36.01108,40.0,40.0,0.48,NW,-0.6000000000000085,0.40000000000000213
12,Chris,1988,82.25859350038905,249.6988202489137,-75.4,22.5,23.14998,15.43332,-99.0,-99.0,0.44,NW,-1.2000000000000028,1.0
